user_id,order_id,region,city_tier,customer_segment,product_category,sku,channel,is_premium,is_returned,subscription_status,order_date,signup_date,last_login,quantity,unit_price,discount_pct,shipping_days,delivery_score,nps,session_minutes,page_views,loyalty_points,age,income_k,comment,campaign_code,revenue,cost,margin
USR-10000,ORD-20240000,Самара,2,B,Спорт,SKU-4853-0,online,True,False,paused,2023-12-31,2021-01-11,2023-04-19 18:00,3,147.86,2.8,5,4.2,9.0,84.2,9,976,67.0,63.5,Повторю заказ,NONE,431.16,271.65,159.51
USR-10001,ORD-20240001,Москва,3,C,Мебель,SKU-7615-1,mobile,False,False,active,2024-01-07,2021-10-02,2023-06-30 06:00,4,48.82,17.7,2,5.0,2.0,4.4,7,3722,33.0,40.7,Отличное качество,PROMO10,160.72,124.39,36.33
USR-10002,ORD-20240002,Москва,2,A,Одежда,SKU-2964-2,online,False,False,trial,2023-12-16,2021-03-30,2023-02-11 14:00,3,26.48,5.3,8,5.0,5.0,22.3,4,3551,36.0,112.0,Скидка сработала,SPRING24,75.23,45.04,30.19
USR-10003,ORD-20240003,Самара,2,B,Книги,SKU-5033-3,mobile,False,False,paused,2023-02-16,2022-03-10,2023-07-05 22:00,3,34.01,2.5,11,2.6,5.0,31.4,9,4105,68.0,92.7,Повторю заказ,WINTER23,99.48,61.62,37.86
USR-10004,ORD-20240004,Казань,1,A,Одежда,SKU-1651-4,retail,False,False,trial,2023-12-21,2020-08-20,2024-02-02 08:00,1,65.96,16.1,11,3.7,1.0,24.0,7,2773,35.0,95.0,Скидка сработала,NONE,55.34,42.97,12.37
USR-10005,ORD-20240005,СПб,1,C,Спорт,SKU-2343-5,retail,True,True,churned,2023-11-07,2021-05-05,2023-08-11 11:00,6,26.56,7.2,2,4.2,6.0,24.9,11,2552,69.0,24.5,,VIP,147.89,77.85,70.04
USR-10006,ORD-20240006,СПб,1,D,Книги,SKU-7868-6,mobile,False,False,trial,2023-11-04,2021-10-12,2023-05-02 05:00,3,58.48,15.3,9,5.0,1.0,11.5,9,2832,33.0,145.0,Скидка сработала,WINTER23,148.6,113.09,35.51
USR-10007,ORD-20240007,СПб,3,C,Книги,SKU-9565-7,partner,False,False,trial,2023-05-24,2022-06-18,2023-05-13 19:00,8,10.21,1.1,2,3.9,5.0,30.5,16,3907,25.0,46.9,Быстрая доставка,PROMO10,80.78,37.49,43.29
USR-10008,ORD-20240008,Самара,2,A,Мебель,SKU-6183-8,partner,True,True,trial,2023-09-26,2020-08-13,2023-06-12 19:00,1,32.25,8.8,9,4.2,0.0,12.4,10,152,50.0,85.6,Нормально,SPRING24,29.41,17.57,11.84
USR-10009,ORD-20240009,Москва,2,B,Одежда,SKU-5272-9,retail,True,False,paused,2024-01-05,2022-10-21,2023-08-03 23:00,4,51.7,2.0,7,,2.0,41.0,5,2964,66.0,187.9,,VIP,202.66,95.88,106.78
USR-10010,ORD-20240010,Самара,1,C,Мебель,SKU-4346-10,retail,False,False,trial,2023-05-04,2021-05-26,2023-08-09 22:00,6,73.59,2.2,8,3.1,1.0,18.7,6,2916,29.0,159.2,Повторю заказ,WINTER23,431.83,298.24,133.59
USR-10011,ORD-20240011,Самара,3,B,Мебель,SKU-6147-11,online,True,False,trial,2023-04-16,2022-02-21,2023-08-23 03:00,3,23.33,2.5,11,5.0,6.0,6.3,4,2800,70.0,,Отличное качество,WINTER23,68.24,44.41,23.83
USR-10012,ORD-20240012,Екатеринбург,3,D,Одежда,SKU-4910-12,retail,False,False,churned,2023-06-07,2021-11-01,2023-11-27 05:00,9,16.01,9.5,2,2.9,3.0,55.1,10,1752,28.0,31.5,Повторю заказ,NONE,130.4,89.09,41.31
USR-10013,ORD-20240013,Москва,1,D,Электроника,SKU-5351-13,mobile,False,False,paused,2023-05-27,2022-11-21,2023-05-26 09:00,2,31.71,4.3,7,5.0,7.0,17.3,9,2610,22.0,114.9,,WINTER23,60.69,34.81,25.88
USR-10014,ORD-20240014,Екатеринбург,1,D,Электроника,SKU-7484-14,partner,False,False,churned,2023-05-25,2021-04-05,2023-08-27 03:00,4,19.71,10.8,6,,5.0,16.8,11,3875,44.0,64.3,Не понравилась упаковка,SPRING24,70.33,40.22,30.11
USR-10015,ORD-20240015,Новосибирск,1,B,Спорт,SKU-3144-15,partner,False,False,trial,2023-04-30,2022-02-04,2023-03-17 18:00,3,33.72,9.8,4,4.7,9.0,7.5,7,1104,29.0,48.2,Скидка сработала,SPRING24,91.25,42.43,48.82
USR-10016,ORD-20240016,Москва,1,C,Мебель,SKU-5915-16,online,False,False,paused,2023-11-15,2022-03-25,2023-01-09 00:00,6,36.46,13.0,7,4.6,3.0,44.9,10,2536,34.0,79.8,Не понравилась упаковка,WINTER23,190.32,107.62,82.7
USR-10017,ORD-20240017,Москва,2,B,Продукты,SKU-8491-0,partner,True,False,churned,2023-10-02,2021-07-22,2023-03-15 09:00,4,17.72,1.8,4,4.0,4.0,14.6,8,4990,23.0,56.1,Отличное качество,NONE,69.6,52.66,16.94
USR-10018,ORD-20240018,Москва,2,B,Мебель,SKU-6180-1,partner,False,False,trial,2023-04-02,2020-11-09,2023-09-10 18:00,1,56.97,2.1,2,4.5,8.0,17.3,12,4199,50.0,82.7,Не понравилась упаковка,VIP,55.77,32.08,23.69
USR-10019,ORD-20240019,СПб,1,C,Мебель,SKU-2188-2,mobile,False,False,active,2023-02-27,2022-10-29,2023-08-18 21:00,4,33.57,15.8,10,4.1,6.0,9.4,7,3854,22.0,62.2,Не понравилась упаковка,VIP,113.06,81.9,31.16
USR-10020,ORD-20240020,СПб,2,D,Мебель,SKU-1152-3,partner,False,False,churned,2023-12-12,2020-12-06,2023-01-07 12:00,2,66.3,10.6,7,4.6,9.0,38.7,9,3494,45.0,,Скидка сработала,NONE,118.54,86.29,32.25
USR-10021,ORD-20240021,Екатеринбург,1,D,Спорт,SKU-8508-4,online,False,False,paused,2023-08-17,2020-08-06,2023-06-23 12:00,3,13.27,10.5,8,4.2,8.0,35.7,8,1914,31.0,40.3,,PROMO10,35.63,20.42,15.21
USR-10022,ORD-20240022,Екатеринбург,1,C,Электроника,SKU-2638-5,online,False,False,churned,2023-04-27,2022-09-04,2023-05-21 22:00,4,20.92,15.6,2,3.5,6.0,11.7,7,3072,22.0,114.5,,SPRING24,70.63,46.51,24.12
USR-10023,ORD-20240023,Москва,2,B,Спорт,SKU-2200-6,partner,True,False,churned,2023-11-14,2020-10-18,2023-06-17 06:00,6,48.63,10.8,5,3.6,0.0,19.1,10,1006,71.0,,,PROMO10,260.27,125.31,134.96
USR-10024,ORD-20240024,Екатеринбург,2,B,Спорт,SKU-9808-7,retail,True,False,churned,2023-10-06,2021-04-07,2023-06-19 02:00,4,23.58,3.0,1,3.5,7.0,57.2,11,406,50.0,,Повторю заказ,NONE,91.49,44.3,47.19
USR-10025,ORD-20240025,СПб,3,D,Спорт,SKU-4492-8,partner,False,False,active,2023-05-07,2021-04-10,2024-01-28 18:00,4,33.43,7.5,7,4.9,3.0,4.6,11,166,67.0,36.5,,PROMO10,123.69,57.65,66.04
USR-10026,ORD-20240026,Самара,1,A,Электроника,SKU-9288-9,online,False,False,paused,2024-01-28,2021-10-11,2023-10-10 22:00,2,36.61,1.7,8,3.8,2.0,108.8,5,508,65.0,129.6,Повторю заказ,NONE,71.98,46.19,25.79
USR-10027,ORD-20240027,Самара,2,A,Электроника,SKU-5345-10,online,False,False,paused,2024-01-31,2022-08-10,2023-05-02 20:00,2,39.93,8.3,6,2.9,6.0,22.1,12,1661,58.0,60.0,Не понравилась упаковка,VIP,73.23,43.25,29.98
